dataResourceName,merit/biocollect,digi_vol,citizen_science,non_cs,Scientific,Commercial,Government,Indigenous,Mixed source dataset,"Collection managed (Museum, Herbarium...) ?",Data in Biocache,International,NRM,Data Biocache,CS type
ANIC Pompilidae Expedition 1,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
"Annelids of the eastern Australian abyss collected by the 2017 RV ‘Investigator’ voyage IN2017_V03, Australia (2017)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1559,NA
Annotated Atlas of the Vascular Flora of Macquarie Island - 1979,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,3005,NA
Annual  community koala surveys North Stradbroke Island Townships,N,N,Y,N,N,N,N,N,N,N,Y,N,N,637,structured CS
Annual SealSpotter Challenge,Y,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Anstead Bushlands Environmental Restoration Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Antarctic Fur Seal Populations on Heard Island Summer 1987-1988,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,462,NA
Antarctic Geological Field Notebook - Peter Pieters #2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Antarctic Marine Protists species checklist,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,563,NA
Anthomyiidae Flies in Hawai'i,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,327,NA
Ants Down Under,N,N,NA,NA,NA,NA,NA,N,NA,NA,N,NA,NA,0,NA
"APIS - Antarctic Pack Ice Seals 1994-1999, plus historical data from the 1980s",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,9271,NA
Apollo Bay Public Observation Deck,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Areca Gully Restoration Project - Extending the Existing Wildlife Corridor,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
ARGOS Satellite Tracking of animals,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,218767,NA
Arid Nature Corridor - Species conservation in South Australia's arid zone - Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Arid Nature Corridor - Species conservation in South Australia's arid zone - Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Arid Nature Corridor - Species conservation in South Australia's arid zone - Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Arid Nature Corridor - Species conservation in South Australia's arid zone - Stage 4,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Armstrong Herbarium,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Armstrong Herbarium 2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Arthur Chapman Observations,N,N,Y,N,N,N,N,N,N,N,Y,N,N,6067,"unassisted CS, personal obs"
Ashbourne to Finniss Biodiversity Links Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Ashgrove Scenic Reserve Restoration Project,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Ashmore Reef Marine Park Environmental Assessment 2019 - marine fauna survey,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,3335,NA
"Assessment of Habitat within the Glenfield Beach Project Area, Geraldton WA.",Y,N,N,N,N,N,N,N,N,N,N,N,N,0,NA
Assisting Coastal Corridor enhancement in NE NSW - Ballina-Iluka -Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting Coastal Corridor enhancement in NE NSW - Ballina-Iluka -Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting Coastal Corridor enhancement in NE NSW - Ballina-Iluka -Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting Coastal Corridor enhancement in NE NSW - Coffs Coast-Wooli Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting Coastal Corridor enhancement in NE NSW - Coffs Coast-Wooli Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting Coastal Corridor enhancement in northern NSW - Byron coast -Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting Coastal Corridor enhancement in northern NSW - Byron coast -Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting Coastal Corridor enhancement in northern NSW - Byron coast -Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting the recovery of koala populations on the NSW North Coast,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Assisting the recovery of koala populations on the NSW North Coast Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Asteiidae Flies of Hawai'i,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,721,NA
Asteroid Mappers: Vesta Edition,N,N,Y,N,N,N,N,N,N,N,N,Y,N,0,structured CS
ASU Citizen Science Maker Summit,N,N,Y,N,N,N,N,N,N,N,N,Y,N,0,NA
Athol Glen Sustainable Farm: Revegetate corridor & protect native vegetation,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Atlantic Reference Centre (OBIS Canada),N,N,N,N,N,N,N,N,N,N,N,Y,N,0,NA
Atlas and Four Winds BioBlitz,N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Atlas of Life in the Coastal Wilderness,N,N,Y,N,N,N,N,N,N,N,Y,N,N,31970,structured CS
Atlas of Living Australia,N,N,N,N,N,N,N,N,Y,N,N,N,N,0,NA
"At-sea GPS tracks of little penguins (Eudyptula minor) tagged at three colonies around Storm Bay (Boronia Beach, Wedge Island and Bruny Island Neck), Tasmania, Australia over the 2015/16 summer breeding season.",N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
"At-Sea Observations of Seabirds 1969 to 1990, Tasman Sea, New Zealand and Australian waters",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,24323,NA
Aussie-Info,N,N,Y,N,N,N,N,N,N,N,Y,N,N,2,NA
Australasian Virtual Herbarium (AVH) data from the State Herbarium of South Australia (AD),N,N,N,N,N,N,N,N,N,Y,N,N,N,0,NA
Australia - Species of National Environmental Significance Database (Public Grids),N,N,N,Y,N,N,Y,N,N,N,N,N,N,0,NA
Australian Acacia seed feeding weevils for biocontrol,N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
Australian Antarctic Division Herbarium,N,N,N,N,N,N,N,N,N,Y,Y,N,N,18473,NA
Australian Bird and Bat Banding Scheme,N,N,N,Y,N,N,Y,N,N,N,N,N,N,0,NA
Australian Botanic Garden Endangered Woodland Regeneration - Stage 3,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Australian Botanic Garden endangered woodland regeneration program - Stage 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Australian Botanic Garden endangered woodland regeneration program - Stage 2,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Australian Coral Ecoregions,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,5923,NA
Australian Crime Commission investigation into illegal killing and poaching,N,N,N,Y,N,N,Y,N,N,N,N,N,N,0,NA
Australian Desert Fishes,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,21,NA
Australian Fungi- A Blog,N,N,Y,N,N,N,N,N,N,N,Y,N,N,291,"unassisted CS, personal obs"
Australian Insect Common Names,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1,NA
"Australian Institute of Marine Science (AIMS) - CReefs Ningaloo Reef Biodiversity Expedition, Australia (2008 - 2010)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1574,NA
"Australian Institute of Marine Science (AIMS) – CReefs: Heron Island Biodiversity Expedition, Australia (2008 - 2010)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1033,NA
"Australian Institute of Marine Science (AIMS) - Lizard Island Reef Biodiversity Expedition, Queensland, Australia (2008 - 2009)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1422,NA
"Australian Institute of Marine Science (AIMS) - Summer planktonic communities of North West Cape, Western Australia (1997 - 2002)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,1357,NA
"Australian Institute of Marine Science (AIMS) - Surveys of Octocoral communities, benthic cover and environmental factors on coral reefs of Hong Kong. (1999)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,173,NA
"Australian Institute of Marine Science (AIMS) - Surveys of Octocoral communities, benthic cover and environmental factors on coral reefs of Milne Bay, Papua New Guinea (2002)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,348,NA
"Australian Institute of Marine Science (AIMS) - Surveys of Octocoral communities, benthic cover and environmental factors on coral reefs of Torres Strait, Australia (1999)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,281,NA
"Australian Institute of Marine Science (AIMS) - Surveys of Octocorals communities, benthic cover and environmental factors on coral reefs of Palau (2003 - 2005)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,376,NA
"Australian Institute of Marine Science (AIMS) - Surveys of Octocorals in the Rowley Shoals Marine Park and the Mermaid Reef National Marine Nature Reserve, Western Australia (2007)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,379,NA
"Australian Institute of Marine Science (AIMS) – Zooplankton community composition of Darwin Harbour, Northern Territory. Australia (2002 - 2004)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,550,NA
Australian Institute of Marine Science (AIMS) – Zooplankton community structure in Nearshore waters of the Great Barrier Reef. (2000 - 2002),N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",N,N,N,Y,Y,N,N,N,N,N,Y,N,N,168613,NA
Australian Marine Debris Initiative (AMDI),N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Australian Maritime Safety Authority - Reef 2050 Plan Action Reporting,N,N,N,Y,N,N,Y,N,N,N,N,N,N,0,NA
Australian Moths Online,N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
Australian Museum Factsheets,N,N,N,N,N,N,N,N,N,Y,Y,N,N,258,NA
Australian Museum Ichthyology - 2012 Inscription Point,N,N,N,N,N,N,N,N,N,Y,Y,N,N,23,NA
Australian Museum provider for OZCAM,N,N,N,N,N,N,N,N,N,Y,Y,N,N,1560995,NA
Australian National Fish Collection,N,N,N,N,N,N,N,N,N,Y,Y,N,N,45332,NA
Australian National Fish Collection Images,N,N,N,N,N,N,N,N,N,Y,Y,N,N,4432,NA
Australian National Fish Expert Distributions,N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
Australian National Herbarium (CANB),N,N,N,N,N,N,N,N,N,Y,N,N,N,0,NA
Australian National Insect Collection,N,N,N,N,N,N,N,N,N,Y,Y,N,N,214114,NA
Australian National Insect Collection - Euryglossinae Bee Expedition 1:,N,N,N,N,N,N,N,N,N,Y,Y,N,N,280,NA
Australian National Insect Collection - Euryglossinae Bee Expedition 2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,280,NA
Australian National Insect Collection - The Orphans Expedition,N,Y,Y,N,N,N,N,N,N,N,N,N,N,0,NA
Australian National Insect Collection Image Library,N,N,N,N,N,N,N,N,N,Y,Y,N,N,4703,NA
Australian National Insect Collection provider for APPD,N,N,N,N,N,N,N,N,N,Y,N,N,N,0,NA
Australian National Insect Collections - Bees,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,320,NA
Australian National Wildlife Collection provider for OZCAM,N,N,N,N,N,N,N,N,N,Y,Y,N,N,224997,NA
Australian Native Plants Society (Australia),N,N,Y,N,N,N,N,N,N,N,N,N,N,0,NA
"Australian Native Plants Society, Canberra Region",N,N,Y,N,N,N,N,N,N,N,Y,N,N,29219,structured CS
Australian Plant Disease Database provider for APPD,N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
Australian Plant Image Index,N,N,N,N,N,N,N,N,N,Y,Y,N,N,113749,NA
Australian Platypus Conservancy,N,N,Y,N,N,N,N,N,N,N,Y,N,N,5463,structured CS
Australian River Assessment System,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,33568,NA
Australian Sea Lion and New Zealand Fur Seal Distribution Database  from Coastal and Marine Resources Information System (CAMRIS),N,N,N,Y,Y,N,N,N,N,N,Y,N,N,139,NA
