occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,,,Phylum,Count,,,Genus,count,,dataResourceName,Count,,,,dataResourceName
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus suffusus,"Camponotus suffusus (Smith, 1858)",5033847,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus suffusus,Camponotus suffusus,"(Smith, 1858) ",5033847,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus intrepidus,"Camponotus intrepidus (Kirby, 1819)",5034397,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus intrepidus,Camponotus intrepidus,"(Kirby, 1819) ",5034397,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus nigriceps,"Camponotus nigriceps (Smith, 1858)",5033190,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus nigriceps,Camponotus nigriceps,"(Smith, 1858) ",5033190,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus suffusus bendigensis,Camponotus suffusus bendigensis,7973005,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus suffusus,Camponotus suffusus bendigensis,,7973005,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus eastwoodi,Camponotus eastwoodi,5801314,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus eastwoodi,Camponotus eastwoodi,,5801314,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Technomyrmex,"Technomyrmex Mayr, 1872",1320039,EXACT,94,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Technomyrmex,,Technomyrmex,"Mayr, 1872",1320039,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus suffusus bendigensis,Camponotus suffusus bendigensis,7973005,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus suffusus,Camponotus suffusus bendigensis,,7973005,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Linepithema humile,"Linepithema humile (Mayr, 1868)",1316908,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Linepithema humile,"(Mayr, 1868) ",1316908,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus innexus,"Camponotus innexus Forel, 1902",5034489,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus innexus,Camponotus innexus,"Forel, 1902",5034489,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus nigriceps,"Camponotus nigriceps (Smith, 1858)",5033190,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus nigriceps,Camponotus nigriceps,"(Smith, 1858) ",5033190,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus gasseri,"Camponotus gasseri (Forel, 1894)",5034264,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus gasseri,Camponotus gasseri,"(Forel, 1894) ",5034264,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus nigriceps,"Camponotus nigriceps (Smith, 1858)",5033190,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus nigriceps,Camponotus nigriceps,"(Smith, 1858) ",5033190,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus suffusus bendigensis,Camponotus suffusus bendigensis,7973005,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus suffusus,Camponotus suffusus bendigensis,,7973005,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus nigriceps,"Camponotus nigriceps (Smith, 1858)",5033190,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus nigriceps,Camponotus nigriceps,"(Smith, 1858) ",5033190,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus intrepidus,"Camponotus intrepidus (Kirby, 1819)",5034397,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus intrepidus,Camponotus intrepidus,"(Kirby, 1819) ",5034397,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus intrepidus,"Camponotus intrepidus (Kirby, 1819)",5034397,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus intrepidus,Camponotus intrepidus,"(Kirby, 1819) ",5034397,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus suffusus,"Camponotus suffusus (Smith, 1858)",5033847,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus suffusus,Camponotus suffusus,"(Smith, 1858) ",5033847,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus nigriceps,"Camponotus nigriceps (Smith, 1858)",5033190,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus nigriceps,Camponotus nigriceps,"(Smith, 1858) ",5033190,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Technomyrmex jocosus,"Technomyrmex jocosus Forel, 1910",1320091,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Technomyrmex,Technomyrmex jocosus,Technomyrmex jocosus,"Forel, 1910",1320091,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus suffusus suffusus,Camponotus suffusus suffusus,5033849,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus suffusus,Camponotus suffusus suffusus,"(Smith, 1858) ",5033849,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus nigriceps,"Camponotus nigriceps (Smith, 1858)",5033190,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus nigriceps,Camponotus nigriceps,"(Smith, 1858) ",5033190,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus suffusus bendigensis,Camponotus suffusus bendigensis,7973005,EXACT,98,ACCEPTED,SUBSPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus suffusus,Camponotus suffusus bendigensis,,7973005,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus aeneopilosus,"Camponotus aeneopilosus Mayr, 1862",5033875,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus aeneopilosus,Camponotus aeneopilosus,"Mayr, 1862",5033875,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus consobrinus,"Camponotus consobrinus (Erichson, 1842)",5033679,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus consobrinus,Camponotus consobrinus,"(Erichson, 1842) ",5033679,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Camponotus,"Camponotus Mayr, 1861",1312361,EXACT,92,ACCEPTED,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus,,Camponotus,"Mayr, 1861",1312361,,,,,,,,,,,,,,,,iNaturalist Australia
,Linepithema humile,"Linepithema humile (Mayr, 1868)",1316908,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Linepithema humile,"(Mayr, 1868) ",1316908,,,,,,,,,,,,,,,,iNaturalist Australia
