recordID,scientificName,taxonConceptID,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,dataResourceName,multimedia,media_id,videos,sounds,vernacularName,genus,species,subspecies,cl22,cl10923,cl1048,cl966,cl21,firstLoadedDate,basisOfRecord,match,search_term,correct_name,provided_name,common_name,state,lga,shape,list_name,cw_state,shape_feature,creator,license,mimetype,width,height,image_url,download_path,date_sent
311832a8-dcc3-4dbd-a029-10f6eae34e44,Oreochromis mossambicus,https://biodiversity.org.au/afd/taxa/913059fd-9ea1-4e9f-a8d7-8c70cc77521e,-28.028378,152.636058,2023-02-02T00:52:50Z,PRESENT,iNaturalist Australia,Image,2c966ff3-cad6-4836-9120-e396a0d071b6,NA,NA,Tilapia,Oreochromis,Oreochromis mossambicus,NA,Queensland,SCENIC RIM REGIONAL,South Eastern Queensland,NA,NA,2023-02-06 00:09:24.108,HUMAN_OBSERVATION,NA,NA,Oreochromis mossambicus,NA,Mozambique tilapia,NA,NA,NA,NSW_Marine,QLD,NA,Richard Johnson,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/image/2c966ff3-cad6-4836-9120-e396a0d071b6/thumbnail,cache/species_images/2c966ff3-cad6-4836-9120-e396a0d071b6.jpg,2023-02-09
d87e7643-771a-4c4b-8abb-f7c8e2b413b9,Perca fluviatilis,https://biodiversity.org.au/afd/taxa/5f3d9b24-1769-4705-b8a7-65391979fd27,-37.660745,145.376403,2023-02-04T07:44:08Z,PRESENT,iNaturalist Australia,Image,c62caeef-5006-47f0-af79-39f491946c4d,NA,NA,Redfin,Perca,Perca fluviatilis,NA,Victoria,YARRA RANGES SHIRE,South Eastern Highlands,NA,NA,2023-02-06 00:09:24.357,HUMAN_OBSERVATION,NA,NA,Perca fluviatilis,NA,Redfin perch,NA,NA,NA,NSW_Marine,VIC,NA,georgetelehin,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/image/c62caeef-5006-47f0-af79-39f491946c4d/thumbnail,cache/species_images/c62caeef-5006-47f0-af79-39f491946c4d.jpg,2023-02-09
2f467198-ba0b-4769-ac6c-91433041bf49,Betula pendula,https://id.biodiversity.org.au/node/apni/2887252,-41.433153,147.142655,2023-02-05T05:15:20Z,PRESENT,iNaturalist Australia,Image,de84d71f-b92d-40eb-94c2-d044d710df77,NA,NA,NA,Betula,Betula pendula,NA,Tasmania,LAUNCESTON CITY COUNCIL,Tasmanian Northern Midlands,NA,NA,2023-02-06 00:09:24.032,HUMAN_OBSERVATION,NA,NA,Betula pendula,NA,Silver Birch,NA,NA,NA,AUS_ACPPO,TAS,NA,flyer3,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/image/de84d71f-b92d-40eb-94c2-d044d710df77/thumbnail,cache/species_images/de84d71f-b92d-40eb-94c2-d044d710df77.jpg,2023-02-09
4e3dc508-7bde-4f31-8d2e-c68e6d933207,Pheidole megacephala,https://biodiversity.org.au/afd/taxa/195e9b1a-84e5-44e3-86bc-5e783b2ba250,-26.756784,153.180316,2023-02-13T00:14:00Z,PRESENT,iNaturalist Australia,Image,671715e0-5093-4e9c-a00f-43629ecb732d,NA,NA,NA,Pheidole,Pheidole megacephala,NA,NA,NA,NA,Tweed-Moreton,Central Eastern Shelf Transition,2023-02-20 03:29:03.123,HUMAN_OBSERVATION,NA,NA,Pheidole megacephala,NA,African big-headed ant,NA,NA,NA,AUS_ACPPO,QLD,NA,wedge-tailed_eagle,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1082,1239,https://images.ala.org.au/image/671715e0-5093-4e9c-a00f-43629ecb732d/thumbnail,cache/species_images/671715e0-5093-4e9c-a00f-43629ecb732d.jpg,2023-02-22
c1502871-80fb-4552-b101-ae98b51620ab,Carcinus maenas,https://biodiversity.org.au/afd/taxa/c9873ee3-cc0b-43f2-a360-bd51b5dd6185,-42.894688,147.333878,2023-02-13T04:02:12Z,PRESENT,iNaturalist Australia,Image,76a289d9-2012-4b5a-a4b9-ddd32837f387,NA,NA,European Green Crab,Carcinus,Carcinus maenas,NA,Tasmania,HOBART CITY COUNCIL,Tasmanian South East,NA,NA,2023-02-20 03:29:03.314,HUMAN_OBSERVATION,NA,NA,Carcinus maenas,NA,European green crab,NA,NA,NA,NSW_Marine,TAS,NA,ttsquid,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/image/76a289d9-2012-4b5a-a4b9-ddd32837f387/thumbnail,cache/species_images/76a289d9-2012-4b5a-a4b9-ddd32837f387.jpg,2023-02-22
72883488-6962-4efe-bdeb-8b80cef43d9f,Carcinus maenas,https://biodiversity.org.au/afd/taxa/c9873ee3-cc0b-43f2-a360-bd51b5dd6185,-42.895763,147.333787,2023-02-13T04:05:09Z,PRESENT,iNaturalist Australia,Image,814dd4ff-017a-494a-ab82-3de75fda87c9,NA,NA,European Green Crab,Carcinus,Carcinus maenas,NA,Tasmania,HOBART CITY COUNCIL,NA,Bruny,Tasmanian Shelf Province,2023-02-20 03:29:03.134,HUMAN_OBSERVATION,NA,NA,Carcinus maenas,NA,European green crab,NA,NA,NA,NSW_Marine,TAS,NA,ttsquid,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1536,https://images.ala.org.au/image/814dd4ff-017a-494a-ab82-3de75fda87c9/thumbnail,cache/species_images/814dd4ff-017a-494a-ab82-3de75fda87c9.jpg,2023-02-22
1e1d0932-74f4-43cc-8b3c-fabb273bea2f,Carcinus maenas,https://biodiversity.org.au/afd/taxa/c9873ee3-cc0b-43f2-a360-bd51b5dd6185,-42.895713,147.333938,2023-02-13T04:07:54Z,PRESENT,iNaturalist Australia,Image,90bfcc26-2883-49dd-8142-d323f75f79c3,NA,NA,European Green Crab,Carcinus,Carcinus maenas,NA,Tasmania,NA,NA,Bruny,Tasmanian Shelf Province,2023-02-20 03:29:03.925,HUMAN_OBSERVATION,NA,NA,Carcinus maenas,NA,European green crab,NA,NA,NA,NSW_Marine,TAS,NA,ttsquid,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/image/90bfcc26-2883-49dd-8142-d323f75f79c3/thumbnail,cache/species_images/90bfcc26-2883-49dd-8142-d323f75f79c3.jpg,2023-02-22
9e7f6afb-9e73-4979-af7d-95fe4da8225b,Carcinus maenas,https://biodiversity.org.au/afd/taxa/c9873ee3-cc0b-43f2-a360-bd51b5dd6185,-42.895682,147.333947,2023-02-13T04:08:00Z,PRESENT,iNaturalist Australia,Image,27f44aba-7d31-4653-8071-253b4d9681a1,NA,NA,European Green Crab,Carcinus,Carcinus maenas,NA,Tasmania,NA,NA,Bruny,Tasmanian Shelf Province,2023-02-20 03:29:03.925,HUMAN_OBSERVATION,NA,NA,Carcinus maenas,NA,European green crab,NA,NA,NA,NSW_Marine,TAS,NA,ttsquid,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1536,https://images.ala.org.au/image/27f44aba-7d31-4653-8071-253b4d9681a1/thumbnail,cache/species_images/27f44aba-7d31-4653-8071-253b4d9681a1.jpg,2023-02-22
7e53f028-22ff-48ca-b9af-f570689b7697,Asterias amurensis,https://biodiversity.org.au/afd/taxa/a6da049e-d4cb-4ddc-8306-cae346ad880a,-42.89709,147.333498,2023-02-13T04:56:00Z,PRESENT,iNaturalist Australia,Image,991a3084-0346-4d48-a166-57d02e8f9a9e,NA,NA,Northern Pacific Seastar,Asterias,Asterias amurensis,NA,Tasmania,HOBART CITY COUNCIL,Tasmanian South East,NA,NA,2023-02-20 03:29:03.123,HUMAN_OBSERVATION,NA,NA,Asterias amurensis,NA,Northern Pacific seastar,NA,NA,NA,NSW_Marine,TAS,NA,ttsquid,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1536,https://images.ala.org.au/image/991a3084-0346-4d48-a166-57d02e8f9a9e/thumbnail,cache/species_images/991a3084-0346-4d48-a166-57d02e8f9a9e.jpg,2023-02-22
11be0b15-411c-4e13-8182-cf2a005fb0bf,Carcinus maenas,https://biodiversity.org.au/afd/taxa/c9873ee3-cc0b-43f2-a360-bd51b5dd6185,-42.897103,147.333487,2023-02-13T04:57:00Z,PRESENT,iNaturalist Australia,Image,1b3a27ec-8f8a-401b-8e66-9877900e41ff,NA,NA,European Green Crab,Carcinus,Carcinus maenas,NA,Tasmania,HOBART CITY COUNCIL,Tasmanian South East,NA,NA,2023-02-20 03:29:03.134,HUMAN_OBSERVATION,NA,NA,Carcinus maenas,NA,European green crab,NA,NA,NA,NSW_Marine,TAS,NA,ttsquid,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1536,https://images.ala.org.au/image/1b3a27ec-8f8a-401b-8e66-9877900e41ff/thumbnail,cache/species_images/1b3a27ec-8f8a-401b-8e66-9877900e41ff.jpg,2023-02-22
0bb4123a-fb3e-4aa4-b6f9-252b8e316f44,Asterias amurensis,https://biodiversity.org.au/afd/taxa/a6da049e-d4cb-4ddc-8306-cae346ad880a,-42.888592,147.332305,2023-02-13T06:15:12Z,PRESENT,iNaturalist Australia,Image,278fdd08-bda7-4c07-9c48-4f0938450fc9,NA,NA,Northern Pacific Seastar,Asterias,Asterias amurensis,NA,Tasmania,HOBART CITY COUNCIL,Tasmanian South East,NA,NA,2023-02-20 03:29:03.123,HUMAN_OBSERVATION,NA,NA,Asterias amurensis,NA,Northern Pacific seastar,NA,NA,NA,NSW_Marine,TAS,NA,ttsquid,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,1536,2048,https://images.ala.org.au/image/278fdd08-bda7-4c07-9c48-4f0938450fc9/thumbnail,cache/species_images/278fdd08-bda7-4c07-9c48-4f0938450fc9.jpg,2023-02-22
3da054c5-adb3-4068-934c-6d55b0a4018e,Carcinus maenas,https://biodiversity.org.au/afd/taxa/c9873ee3-cc0b-43f2-a360-bd51b5dd6185,-38.216092,145.309646,2023-02-15T00:08:00Z,PRESENT,iNaturalist Australia,Image,3070b093-0fac-4d42-9541-01cd02168c74,NA,NA,European Green Crab,Carcinus,Carcinus maenas,NA,Victoria,NA,NA,Victorian Embayments,Bass Strait Shelf Province,2023-02-20 03:29:03.134,HUMAN_OBSERVATION,NA,NA,Carcinus maenas,NA,European green crab,NA,NA,NA,NSW_Marine,VIC,NA,srsbb,http://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,2048,1894,https://images.ala.org.au/image/3070b093-0fac-4d42-9541-01cd02168c74/thumbnail,cache/species_images/3070b093-0fac-4d42-9541-01cd02168c74.jpg,2023-02-22
