species_name,museum_name,location,state,country,n_records,sex,subspecies,notes,extra_notes
Trichoglossus haematodus,AMNH,Hisiu,Central Province,Papua New Guinea,1,m,haematodus,,
Trichoglossus haematodus,AMNH,Mafulu,,Papua New Guinea,1,m,haematodus,,
Trichoglossus haematodus,AMNH,Vanamai,,Papua New Guinea,1,m,haematodus,written Vanumai,
Trichoglossus haematodus,AMNH,Rouna,,Papua New Guinea,2,m,haematodus,,
Trichoglossus haematodus,AMNH,Aikora River,,Papua New Guinea,1,m,haematodus,,
Trichoglossus haematodus,AMNH,Misima Island,,Papua New Guinea,1,m,haematodus,written and formerly known as St Aignan,
Trichoglossus haematodus,AMNH,Upper Setaki,,,1,m,micropteryx,loc unclear,
Trichoglossus haematodus,AMNH,Sudirman Range,,Indonesia,1,m,micropteryx,aka Snow Mountains,
Trichoglossus haematodus,AMNH,Black and Palmer River junction,Queensland,Australia,3,m,micropteryx,,
Trichoglossus haematodus,AMNH,Upper Setaki,,,1,f,micropteryx,loc unclear,617209
Trichoglossus haematodus,AMNH,Sudirman Range,,Indonesia,1,f,micropteryx,aka Snow Mountains,
Trichoglossus haematodus,AMNH,Black and Palmer River junction,Queensland,Australia,1,f,micropteryx,,
Trichoglossus haematodus,AMNH,Karimui,,Papua New Guinea,2,f,haematodus,,
Trichoglossus haematodus,AMNH,Kubuna/Kubena,,,1,f,haematodus,loc unclear,
Trichoglossus haematodus,AMNH,Misima Island,,Papua New Guinea,1,f,haematodus,written and formerly known as St Aignan,
Trichoglossus haematodus,AMNH,Biak Island,,Indonesia,3,m,rosenbergii,,
Trichoglossus haematodus,AMNH,Misori,,Indonesia,1,m,rosenbergii,loc unclear - accompanying notes says all rosenbergii specimens are from Biak,
Trichoglossus haematodus,AMNH,Misori,,Indonesia,1,f,rosenbergii,loc unclear - accompanying notes says all rosenbergii specimens are from Biak,
Trichoglossus haematodus,ANSP,,Lombok,Indonesia,1,f,forsteni,,
Trichoglossus haematodus,ANSP,,Sumbawa,Indonesia,2,,forsteni,,
Trichoglossus haematodus,ANSP,,Tanahjampea,Indonesia,1,f,forsteni,Djampea,
Trichoglossus haematodus,ANSP,Biak Island,,Indonesia,5,m,rosenbergii,,
Trichoglossus haematodus,ANSP,Biak Island,,Indonesia,1,f,rosenbergii,,
Trichoglossus haematodus,WAM,Broome,Queensland,Australia,1,m,moluccanus x rubritorquis,intergradient between sbsp,
Trichoglossus haematodus,WAM,Broome,Queensland,Australia,1,f,moluccanus x rubritorquis,intergradient between sbsp,
Trichoglossus haematodus,WAM,Broome,Queensland,Australia,1,,moluccanus x rubritorquis,intergradient between sbsp,
Trichoglossus haematodus,ANWC,Wangary,South Australia,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Kangaroo Island,South Australia,Australia,3,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Fleurieu Peninsula,South Australia,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Urrbrae,South Australia,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Grange,South Australia,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bool Lagoon,South Australia,Australia,7,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Grampians,Victoria,Australia,1,m,moluccanus,Bairnsdale?,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Mt Taylor,Australian Capital Territory,Australia,2,m,moluccanus,Bairnsdale?,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Nadgee,New South Wales,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Beecroft Peninsula,New South Wales,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Dapto,New South Wales,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Sydney,New South Wales,Australia,4,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Balmain,New South Wales,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Newcastle,New South Wales,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Wangary,South Australia,Australia,2,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Kangaroo Island,South Australia,Australia,3,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Fleurieu Peninsula,South Australia,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Urrbrae,South Australia,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Grange,South Australia,Australia,1,,moluccanus,unsexed,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bool Lagoon,South Australia,Australia,4,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bool Lagoon,South Australia,Australia,1,,moluccanus,unsexed possibly m,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bairnsdale,Victoria,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Nadgee,New South Wales,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Nowra,New South Wales,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Sydney,New South Wales,Australia,2,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bungwahl,New South Wales,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Coutts Crossing,New South Wales,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bonoo Bonoo National Park,New South Wales,Australia,1,f,moluccanus,near Tenterfield,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Brunswick Heads,New South Wales,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Walker Creek,Queensland,Australia,1,f,moluccanus,typical CYP sepentrionales - near Karumba and Normanton,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Inkerman Station,Queensland,Australia,3,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,48km E Croydon,South Australia,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bungwahl,New South Wales,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Coffs Harbour,New South Wales,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Coutts Crossing,New South Wales,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bonoo Bonoo National Park,New South Wales,Australia,1,m,moluccanus,imm. near Tenterfield,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bonoo Bonoo National Park,New South Wales,Australia,1,m,moluccanus,near Tenterfield,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Lismore,New South Wales,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Walker Creek,Queensland,Australia,1,m,moluccanus,near Karumba and Normanton,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Staaten River,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Inkerman Station,Queensland,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Croydon,South Australia,Australia,1,m,moluccanus,E of Croydon but no distance given - specimen 37490,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Gilbert River Crossing,,Australia,2,m,moluccanus,SA or QLD,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Weipa ,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,McIlwraith Range,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Silver Plains,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Bathurst Bay,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Morehead River Crossing,Queensland,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,8km NW Laura,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Cooktown,Queensland,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Mount Carbine,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Julatten,Queensland,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Chillagoe,Queensland,Australia,2,m,moluccanus,Chillagoe Walsh River,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Atherton,Queensland,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Weipa ,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Wenlock River,Queensland,Australia,2,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,McIlwraith Range,Queensland,Australia,1,f,moluccanus,E of the range,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Musgrave Creek,Queensland,Australia,1,f,moluccanus,CYP possibly just Musgrave town in QLD,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Laura,Queensland,Australia,2,f,moluccanus,Hann River near Laura,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Laura,Queensland,Australia,2,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Killarney Station,Queensland,Australia,1,f,moluccanus,CYP,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Kimba,Queensland,Australia,1,f,moluccanus,CYP,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Palmer River,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Cooktown,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Mossman,Queensland,Australia,1,,moluccanus,unsexed,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Julatten,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Port Douglas,Queensland,Australia,2,f,moluccanus,Cairns / Port Douglas,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Mount Carbine,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Atherton,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Chillagoe,Queensland,Australia,1,f,moluccanus,Chillagoe Walsh River,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Cathu,Queensland,Australia,2,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Crediton,Queensland,Australia,1,f,moluccanus,Crediton Clarke Range,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Shoalwater Bay,Queensland,Australia,5,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Tambo,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Blackdown Tableland,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Kaban,Queensland,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Port Douglas,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Mount Garnet,Queensland,Australia,3,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Townsville,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Cathu,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Shoalwater Bay,Queensland,Australia,5,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Mount Pluto,Queensland,Australia,1,m,moluccanus,Mount Pluto Tambo,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Blackdown Tableland,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Kroombit Tops National Park,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Mount Perry,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Maryborough,Queensland,Australia,2,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Cracow / Taroom,Queensland,Australia,3,m,moluccanus,42112,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Caloundra,Queensland,Australia,1,m,moluccanus,Caloundra Sunshine Coast,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Brisbane,Queensland,Australia,1,m,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Kroombit Tops National Park,Queensland,Australia,4,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Mount Perry,Queensland,Australia,1,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus haematodus,ANWC,Conondale Range,Queensland,Australia,3,f,moluccanus,,should this be Trichoglossus moluccanus? notes unclear
Trichoglossus moluccanus,ANWC,Kowanyama,Queensland,Australia,2,m,,,
Trichoglossus moluccanus,ANWC,Aurukun,Queensland,Australia,3,m,,,
Trichoglossus moluccanus,ANWC,60km N Weipa,Queensland,Australia,2,m,,,
Trichoglossus moluccanus,ANWC,Bamaga,Queensland,Australia,1,m,,Old bird - all scarlet breast - Bamaga Airport,
Trichoglossus moluccanus,ANWC,Kalpowar Station,Queensland,Australia,2,m,,in Cape York,
Trichoglossus moluccanus,ANWC,Between Morehead and Hann Rivers,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,ANWC,150km ESE Georgetown,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,ANWC,Mareeba,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,ANWC,Cairns,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,ANWC,Townsville,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,ANWC,Beachmere,Queensland,Australia,1,m,,in Sunshine Coast,
Trichoglossus moluccanus,ANWC,150km ESE Georgetown,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Kowanyama,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Aurukun,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Bamaga,Queensland,Australia,2,f,,Bamaga airport,
Trichoglossus moluccanus,ANWC,Kalpowar Station,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,180km NW Chillagoe,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,145km SW Mount Garnet,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Atherton,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Julatten,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Between Cairns and Port Douglas,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Taree,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Broulee,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,ANWC,Surf Beach,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Durham,Queensland,Australia,1,f,,Durham Beach,
Trichoglossus moluccanus,ANWC,Dalmeny,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,ANWC,Nowra,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,HL White,Moa Island,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,HL White,Cape York,Queensland,Australia,2,m,,,
Trichoglossus moluccanus,HL White,Lockerbie,Queensland,Australia,1,m,,homestead,
Trichoglossus moluccanus,HL White,Cairns,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,HL White,Ravenshoe,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,HL White,Tenterfield,New South Wales,Australia,2,m,,,
Trichoglossus moluccanus,HL White,Lionsville,New South Wales,Australia,1,m,,Lionsvile Clarence River,
Trichoglossus moluccanus,HL White,Bellinger River,New South Wales,Australia,2,m,,,
Trichoglossus moluccanus,HL White,Lithgow,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,HL White,Kangaroo Island,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,HL White,Coen,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,HL White,Watson River,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,HL White,Ravenshoe,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,HL White,Cardwell,Queensland,Australia,2,f,,Cardwell Tableland,
Trichoglossus moluccanus,HL White,Tenterfield,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,MV,Claudiah ,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,MV,Edward River,Queensland,Australia,1,m,,juvenile,
Trichoglossus moluccanus,MV,Edward River,Queensland,Australia,1,m,,adult,
Trichoglossus moluccanus,MV,Cairns / Atherton,Queensland,Australia,3,m,,,
Trichoglossus moluccanus,MV,Kalimna West,Victoria,Australia,1,m,,,
Trichoglossus moluccanus,MV,Nunawading,Victoria,Australia,1,m,,juvenile,
Trichoglossus moluccanus,MV,Carlton,Victoria,Australia,2,m,,,
Trichoglossus moluccanus,MV,Fitzroy,Victoria,Australia,1,m,,N Fitzroy Melbourne,
Trichoglossus moluccanus,MV,Preston,Victoria,Australia,1,m,,,
Trichoglossus moluccanus,MV,Monash University,Victoria,Australia,1,m,,,
Trichoglossus moluccanus,MV,Hawthorn,Victoria,Australia,1,m,,juvenile,
Trichoglossus moluccanus,MV,Clayton,Victoria,Australia,1,m,,,
Trichoglossus moluccanus,MV,Frankston,Victoria,Australia,4,m,,,
Trichoglossus moluccanus,MV,Tarwin,Victoria,Australia,1,m,,NOT Tarwin Lower,
Trichoglossus moluccanus,MV,Brunswick,Victoria,Australia,1,m,,,
Trichoglossus moluccanus,MV,Hamilton,Victoria,Australia,1,m,,Cairns area N QLD,
Trichoglossus moluccanus,MV,Cairns,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,MV,Coleman River,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,MV,Edward River,Queensland,Australia,2,f,,,
Trichoglossus moluccanus,MV,Cairns,Queensland,Australia,1,f,,Cairns area N QLD,
Trichoglossus moluccanus,MV,Emu Vale,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,MV,Sandringham,Victoria,Australia,1,f,,,
Trichoglossus moluccanus,MV,Marden,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,MV,Blackburn South,Victoria,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Stokes Hill Lookout,South Australia,Australia,2,m,,written Stokes Flinders Eyre Peninsula,
Trichoglossus moluccanus,SAMA and SA White,Kangaroo Island,South Australia,Australia,5,m,,,
Trichoglossus moluccanus,SAMA and SA White,Gawler,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Woodville,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Happy Valley,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Blackwood,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Strathalbyn,South Australia,Australia,1,m,,written Strathalby,
Trichoglossus moluccanus,SAMA and SA White,Inman Valley,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Murray Bridge,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Victor Harbour,South Australia,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Coleraine,Victoria,Australia,3,m,,,
Trichoglossus moluccanus,SAMA and SA White,,Victoria,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Mallacoota,Victoria,Australia,2,m,,,
Trichoglossus moluccanus,SAMA and SA White,Cairns,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Watson River,Queensland,Australia,1,m,,,
Trichoglossus moluccanus,SAMA and SA White,Stewart River,Queensland,Australia,2,m,,,
Trichoglossus moluccanus,SAMA and SA White,Stokes Hill Lookout,South Australia,Australia,2,f,,written Stokes Flinders Eyre Peninsula,
Trichoglossus moluccanus,SAMA and SA White,Warunda,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Flinders Chase National Park,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Kangaroo Island,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Adelaide,South Australia,Australia,1,f,,near Adelaide,
Trichoglossus moluccanus,SAMA and SA White,Teatree Gully,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Coromandel Valley,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Happy Valley,South Australia,Australia,2,f,,,
Trichoglossus moluccanus,SAMA and SA White,Hindmarsh Valley,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Meadows,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Victor Harbour,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Salt Creek,South Australia,Australia,2,f,,,
Trichoglossus moluccanus,SAMA and SA White,Kingston SE,South Australia,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Coleraine,Victoria,Australia,2,f,,,
Trichoglossus moluccanus,SAMA and SA White,Mount Tambourine,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Stewart River,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Paira,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Lockerbie,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,SAMA and SA White,Bathurst Head,Queensland,Australia,1,f,,,
Trichoglossus moluccanus,AM,Palmer River,Queensland,Australia,1,m,,moluccanus/haematodus?,Palmer River headwaters CYP
Trichoglossus moluccanus,AM,Atherton,Queensland,Australia,2,m,,moluccanus/haematodus?,
Trichoglossus moluccanus,AM,Blackdown Tableland,Queensland,Australia,1,m,,moluccanus/haematodus?,
Trichoglossus moluccanus,AM,Ten Mile Gap Rd Shoalwater Bay,Queensland,Australia,1,m,,moluccanus/haematodus?,
Trichoglossus moluccanus,AM,Blackwood SA Sturt River,South Australia,Australia,1,m,,moluccanus/haematodus?,
Trichoglossus moluccanus,AM,Kingscote,South Australia,Australia,1,m,,moluccanus/haematodus?,
Trichoglossus moluccanus,AM,Shelburne Bay,Queensland,Australia,1,f,,moluccanus/haematodus?,
Trichoglossus moluccanus,AM,Atherton,,,1,f,,moluccanus/haematodus?,
Trichoglossus moluccanus,AM,Koppio,South Australia,Australia,1,f,,moluccanus/haematodus?,
Trichoglossus moluccanus,AM,Richmond River,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Bellinger River,Queensland,Australia,3,m,,,
Trichoglossus moluccanus,AM,Tamworth,New South Wales,Australia,8,m,,,
Trichoglossus moluccanus,AM,Maitland,New South Wales,Australia,9,m,,,
Trichoglossus moluccanus,AM,Gosford,New South Wales,Australia,12,m,,,
Trichoglossus moluccanus,AM,Richmond River,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Bellinger River,Queensland,Australia,4,f,,,
Trichoglossus moluccanus,AM,Port Macquarie,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Tamworth,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Maitland,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Gosford,New South Wales,Australia,5,f,,,
Trichoglossus moluccanus,AM,Terrigal,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Dangar Island,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Narrabeen,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Dobroyd Point,New South Wales,Australia,1,f,,Dobroyde,
Trichoglossus moluccanus,AM,Pymble,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Sydney,New South Wales,Australia,2,f,,,
Trichoglossus moluccanus,AM,Nth Suburbs Sydney,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Taronga Park,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Oberon,New South Wales,Australia,1,f,,,
Trichoglossus moluccanus,AM,Wyee,New South Wales,Australia,3,m,,,
Trichoglossus moluccanus,AM,Berowra,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Narrabeen,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Avalon,unclear,Australia,1,m,,,
Trichoglossus moluccanus,AM,Pymble,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Tarana,New South Wales,Australia,4,m,,,
Trichoglossus moluccanus,AM,Kurrajong,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Katoomba,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Lithgow,New South Wales,Australia,3,m,,,
Trichoglossus moluccanus,AM,Hartley,New South Wales,Australia,2,m,,,
Trichoglossus moluccanus,AM,Oberon,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Dobroyd Point,New South Wales,Australia,2,m,,Dobroyde,
Trichoglossus moluccanus,AM,Marrangaroo,New South Wales,Australia,2,m,,,
Trichoglossus moluccanus,AM,Rooty Hill,New South Wales,Australia,2,m,,,
Trichoglossus moluccanus,AM,Rydal,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Cronulla,New South Wales,Australia,1,m,,,
Trichoglossus moluccanus,AM,Bowenfels,New South Wales,Australia,3,m,,,
