species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
Cacatua sanguinea,QM,"Flinders River Crossing, Milgarra",Queensland,Australia,2,f,,1st: AD 2nd: sub
Cacatua sanguinea,QM,"Uralla, Saxby River",Queensland,Australia,2,f,,
Cacatua sanguinea,QM,Noonbah,Queensland,Australia,1,m,,
Cacatua sanguinea,QM,"Currane, Dartmouth",Queensland,Australia,1,m,,
Cacatua sanguinea,QM,"Currane, Dartmouth",Queensland,Australia,2,f,,
Cacatua sanguinea,?,Kai Islands,,Indonesia,2,m,,
Cacatua sanguinea,?,Tanimber Islands,,Indonesia,2,m,,
Cacatua sanguinea,?,Kisser Islands,,Indonesia,1,f,,
Cacatua sanguinea,?,Tanimber Islands,,Indonesia,4,f,,
Cacatua sanguinea,?,"Murchison Goldfield, Lake Way",Western Australia,Australia,1,m,,type of westralensis
Cacatua sanguinea,?,Point Cloates,Western Australia,Australia,1,m,,
Cacatua sanguinea,?,Fitzroy River (NWA),Western Australia,Australia,1,m,,
Cacatua sanguinea,?,Oobagooma,Western Australia,Australia,1,m,,
Cacatua sanguinea,?,Flora Valley,Western Australia,Australia,1,m,,
Cacatua sanguinea,?,Parry's Creek,Western Australia,Australia,1,m,,type of subdistincta 
Cacatua sanguinea,?,Daly River,Northern Territory,Australia,1,m,,
Cacatua sanguinea,?,Melville Island,Northern Territory,Australia,2,m,,1st: type of apsleyi
Cacatua sanguinea,?,South Alligator River,Northern Territory,Australia,2,m,,1st: type of distincta
Cacatua sanguinea,?,Alexandria,Queensland,Australia,1,m,,
Cacatua sanguinea,?,Normanton,Queensland,Australia,2,m,,1st: type of normantoni
Cacatua sanguinea,?,Vindex,Queensland,Australia,1,m,,
Cacatua sanguinea,?,Yanco Glen,New South Wales,Australia,1,m,,type of ashbyi
Cacatua sanguinea,?,Broken Hill,New South Wales,Australia,1,m,,
Cacatua sanguinea,?,Point Cloates,Western Australia,Australia,1,f,,
Cacatua sanguinea,?,Yardie Creek,Western Australia,Australia,1,f,,
Cacatua sanguinea,?,Parry's Creek,Western Australia,Australia,2,f,,1st: sub
Cacatua sanguinea,?,Flora Valley,Western Australia,Australia,1,f,,
Cacatua sanguinea,?,Daly River,Northern Territory,Australia,1,f,,
Cacatua sanguinea,?,Melville Island,Northern Territory,Australia,2,f,,
Cacatua sanguinea,?,South Alligator River,Northern Territory,Australia,3,f,,
