"Supplied Name","guid","scientificName","family","kingdom","reportedTaxon","recordID","species","order","family","habitat","class","countryCode_alpha3","isHybrid","country","countryCode_alpha2","phylum","kingdom","isInvasive","establishmentMeans","taxonRank","occurrenceStatus"
"Paradella dianae (Menzies, 1962)","urn:lsid:biodiversity.org.au:afd.taxon:0a6bc7ba-1d14-469a-ac41-c182aebdb0ed","Paradella dianae","Sphaeromatidae",,"Paradella dianae (Menzies, 1962)","69318","Paradella dianae","Isopoda","Sphaeromatidae","MARINE","Malacostraca","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Amathia distans Busk, 1886","NZOR-6-91261","Amathia distans","Vesiculariidae",,"Amathia distans Busk, 1886","7150","Amathia distans","Ctenostomatida","Vesiculariidae","MARINE","Gymnolaemata","AUS","FALSE","Australia","AU","Bryozoa","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Amathia verticillata (delle Chiaje, 1822)","urn:lsid:biodiversity.org.au:afd.taxon:14868f6f-bc08-4483-9ed4-ed4a90297f1c","Amathia verticillatum","Vesiculariidae",,"Zoobotryon verticillatum (Delle Chiaje, 1822)","102133","Amathia verticillata","Ctenostomatida","Vesiculariidae","MARINE","Gymnolaemata","AUS","FALSE","Australia","AU","Bryozoa","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Phalloceros caudimaculatus (Hensel, 1868)","urn:lsid:biodiversity.org.au:afd.taxon:6c23af65-32c9-42b1-8188-ce042047aced","Phalloceros caudimaculatus","Poeciliidae",,"Phalloceros caudimaculatus (Hensel, 1868)","72321","Phalloceros caudimaculatus","Cyprinodontiformes","Poeciliidae","FRESHWATER|BRACKISH","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Apocorophium acutum (Chevreux, 1908)","urn:lsid:biodiversity.org.au:afd.taxon:bd3c32b1-847d-408c-a054-cdb0e5785461","Apocorophium acutum","Corophiidae",,"Apocorophium acutum (Chevreux, 1908)","9837","Apocorophium acutum","Amphipoda","Corophiidae","MARINE","Malacostraca","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Crassicorophium bonellii (H.Milne Edwards, 1830)","urn:lsid:biodiversity.org.au:afd.taxon:03a02c08-7ad8-4620-b3f2-f779d30624fe","Crassicorophium bonellii","Corophiidae",,"Crassicorophium bonellii (H.Milne Edwards, 1830)","28328","Crassicorophium bonellii","Amphipoda","Corophiidae","MARINE","Malacostraca","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Hydroides sanctaecrucis Krøyer, 1863","urn:lsid:biodiversity.org.au:afd.taxon:3daef1f0-2e2c-4a8d-a9c4-f4dabfd92639","Hydroides sanctaecrucis","Serpulidae",,"Hydroides sanctaecrucis Krøyer, 1863","48445","Hydroides sanctaecrucis","Sabellida","Serpulidae","MARINE","Polychaeta","AUS","FALSE","Australia","AU","Annelida","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Styela plicata (Lesueur, 1823)","urn:lsid:biodiversity.org.au:afd.taxon:29d7a66d-02d8-4e0f-99e6-2e72112675bf","Styela plicata","Styelidae",,"Styela plicata (Lesueur, 1823)","92526","Styela plicata","Stolidobranchia","Styelidae","MARINE","Ascidiacea","AUS","FALSE","Australia","AU","Chordata","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Gallus gallus (Linnaeus, 1758)","urn:lsid:biodiversity.org.au:afd.taxon:6e952804-1b8d-43cf-b55f-c9c9d6b0da77","Gallus gallus","Phasianidae",,"Gallus gallus (Linnaeus, 1758)","43200","Gallus gallus","Galliformes","Phasianidae","TERRESTRIAL","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Lonchura punctulata (Linnaeus, 1758)","urn:lsid:biodiversity.org.au:afd.taxon:06f937ac-99b7-46b5-ac15-ecad9a834303","Lonchura (Lonchura) punctulata","Estrildidae",,"Lonchura punctulata (Linnaeus, 1758)","56493","Lonchura punctulata","Passeriformes","Estrildidae","TERRESTRIAL","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Anseranas semipalmata (Latham, 1798)","urn:lsid:biodiversity.org.au:afd.taxon:e6c44fa1-6428-42b4-a5f3-1315783484b0","Anseranas semipalmata","Anseranatidae",,"Anseranas semipalmata (Latham, 1798)","9040","Anseranas semipalmata","Anseriformes","Anseranatidae","TERRESTRIAL|FRESHWATER","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Anoplolepis gracilipes (Smith, 1857)","urn:lsid:biodiversity.org.au:afd.taxon:f5c1b2b5-6ef2-4ddb-8ada-0461cf1fda65","Anoplolepis gracilipes","Formicidae",,"Anoplolepis gracilipes (Smith, 1857)","8896","Anoplolepis gracilipes","Hymenoptera","Formicidae","TERRESTRIAL","Insecta","AUS","FALSE","Australia","AU","Arthropoda","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Amphibalanus reticulatus Utinomi, 1967","urn:lsid:biodiversity.org.au:afd.taxon:0a1455db-1d46-46d9-85a7-5217e4c03537","Amphibalanus reticulatus","Balanidae",,"Amphibalanus reticulatus Utinomi, 1967","7748","Amphibalanus reticulatus","Sessilia","Balanidae","MARINE","Maxillopoda","AUS","FALSE","Australia","AU","Arthropoda","Animalia","INVASIVE","CRYPTOGENIC|UNCERTAIN","SPECIES","PRESENT"
"Amphibalanus improvisus Darwin, 1854","urn:lsid:biodiversity.org.au:afd.taxon:4dae6f95-1cf3-43b1-841d-605813da860d","Amphibalanus improvisus","Balanidae",,"Amphibalanus improvisus Darwin, 1854","7730","Amphibalanus improvisus","Sessilia","Balanidae","MARINE","Maxillopoda","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Carassius auratus (Linnaeus, 1758)","urn:lsid:biodiversity.org.au:afd.taxon:1bf24d7e-3b21-4aba-9ea1-df66908afcf4","Carassius auratus","Cyprinidae",,"Carassius auratus (Linnaeus, 1758)","19106","Carassius auratus","Cypriniformes","Cyprinidae","FRESHWATER|BRACKISH","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Pavo cristatus Linnaeus, 1758","urn:lsid:biodiversity.org.au:afd.taxon:c473d2a8-69f0-4016-97df-4f8982b5b82b","Pavo cristatus","Phasianidae",,"Pavo cristatus Linnaeus, 1758","70723","Pavo cristatus","Galliformes","Phasianidae","TERRESTRIAL","Aves","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Watersipora subtorquata (d'Orbigny, 1852)","urn:lsid:biodiversity.org.au:afd.taxon:e23c8d3d-dcff-48b0-bbf0-64ebe65ebe59","Watersipora subtorquata","Watersiporidae",,"Watersipora subtorquata (d'Orbigny, 1852)","100955","Watersipora subtorquata","Cheilostomatida","Watersiporidae","MARINE","Gymnolaemata","AUS","FALSE","Australia","AU","Bryozoa","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Botrylloides violaceus Oka, 1927","35033004","Botrylloides violaceus","Styelidae",,"Botryllus aurantius (Oka, 1927)","15252","Botrylloides violaceus","Stolidobranchia","Styelidae","MARINE","Ascidiacea","AUS","FALSE","Australia","AU","Chordata","Animalia","NULL","ALIEN","SPECIES","PRESENT"
"Amniataba percoides (Günther, 1864)","urn:lsid:biodiversity.org.au:afd.taxon:1e379aac-1b45-4e99-b6cb-5615437f0ddd","Amniataba percoides","Terapontidae",,"Amniataba percoides (Günther, 1864)","7631","Amniataba percoides","Perciformes","Terapontidae","FRESHWATER","Actinopterygii","AUS","FALSE","Australia","AU","Chordata","Animalia","INVASIVE","ALIEN","SPECIES","PRESENT"
"Megabalanus rosa Pilsbry, 1916","urn:lsid:biodiversity.org.au:afd.taxon:2a6ecd19-2b3c-423e-9217-9a3de05fde4d","Megabalanus rosa","Balanidae",,"Megabalanus rosa Pilsbry, 1916","59475","Megabalanus rosa","Sessilia","Balanidae","MARINE","Maxillopoda","AUS","FALSE","Australia","AU","Arthropoda","Animalia","NULL","CRYPTOGENIC|UNCERTAIN","SPECIES","PRESENT"
