"taxonConceptID","count","electorate","electorate_sum","prop_by_electorate","z_score_proportions","z_score_counts","z_squared","rank","phylum","class","order","family","species","vernacular_name","state"
"urn:lsid:biodiversity.org.au:afd.taxon:5a56968e-a864-46d0-bd6a-d84eb70731a4",11,"Hasluck",20543,0.000535462201236431,3.97093519474171,1.9855694035452,7.88456742613993,"species","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lampides boeticus","Pea Blue","WA"
"urn:lsid:biodiversity.org.au:afd.taxon:e3a02fd4-abea-49d9-82d5-98208455ecd3",164,"Hawke",35034,0.00468116686647257,5.38583845267457,1.64455164996994,8.85728951381749,"species","Chordata","Aves","Falconiformes","Accipitridae","Hieraaetus morphnoides","Little Eagle","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:37848309-72eb-4d28-aea3-686a939b19c8",844,"Herbert",119813,0.00704431071753482,5.84283211320371,1.90214847013562,11.1139341653897,"species","Chordata","Aves","Cuculiformes","Cuculidae","Cacomantis variolosus","Brush Cuckoo","QLD"
"urn:lsid:biodiversity.org.au:afd.taxon:71606f1e-af79-44c4-b13a-f2fa920c0691",11,"Higgins",15744,0.000698678861788618,4.80445657152064,1.54455490803735,7.42074697799449,"species","Arthropoda","Arachnida","Araneae","Araneidae","Araneus talipedatus",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:0f1578f0-608d-4035-bdb0-640708b73d46",172,"Hindmarsh",14528,0.0118392070484581,6.99887823670936,2.81868435064085,19.7276285578535,"species","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus himantopus","Pied Stilt","SA"
"urn:lsid:biodiversity.org.au:afd.taxon:4d70c7c0-1d4a-41c5-90d4-93871cbf2a3c",681,"Hinkler",66727,0.0102057637837757,3.99748617032065,1.47995214113184,5.91608821691097,"species","Chordata","Aves","Ciconiiformes","Ardeidae","Ardea ibis","Cattle Egret","QLD"
"urn:lsid:biodiversity.org.au:afd.taxon:acd10974-44bc-4daa-8321-367ba18d1881",61,"Holt",26147,0.00233296362871458,7.02421745808976,3.02333696924562,21.2365763210633,"species","Arthropoda","Insecta","Lepidoptera","Pterophoridae","Stenoptilia zophodactylus",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:6c33bbf4-9f47-4d92-a4f3-4a485ba1ccae",33,"Hotham",25546,0.00129178736397088,5.019504697144,1.84722826593703,9.27217095756808,"species","Arthropoda","Insecta","Lepidoptera","Crambidae","Uresiphita ornithopteralis",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:397a4f2e-c8ed-4428-bda1-476530c66a14",37,"Hughes",41559,0.00089030053658654,3.95606742130414,1.89258418588222,7.48719063984407,"species","Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia gulosa",NA,"NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:5943fade-3294-4367-8ebe-8f34b2b77dac",47,"Hume",107265,0.000438167156108703,2.91052787783491,2.41845652186921,7.03898512823199,"species","Chordata","Reptilia","Squamata","Scincidae","Cryptoblepharus virgatus","Striped Snake-eyed Skink","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:ff331787-ecbd-4e17-87d5-79b910d20b0d",87,"Hunter",55102,0.00157889005843708,6.74034904424626,2.79146717602852,18.8154631119886,"species","Chordata","Reptilia","Squamata","Scincidae","Ctenotus robustus","Robust Ctenotus","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:e9b7275f-1e35-4fdb-a71f-3b1acdedc071",171,"Indi",136196,0.0012555434814532,4.07408645819248,3.12848263091451,12.7457087212992,"species","Arthropoda","Insecta","Hymenoptera","Apidae","Exoneura bicolor",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:cfcc7058-47fa-4407-b0a0-e4246bea0368",426,"Isaacs",59919,0.00710959795724228,3.28750049641318,1.69343406017891,5.56716531348114,"species","Chordata","Aves","Anseriformes","Anatidae","Oxyura australis","Blue-billed duck","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:26eb1b32-8b43-40db-b2e0-8ab647235426",15,"Jagajaga",56169,0.000267051220424077,2.52933604521465,2.3532634044564,5.95219395277612,"species","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum peraustrale",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:4634c6ac-56df-4b9f-870f-c83bd008a933",937,"Kennedy",362623,0.00258395082496146,4.45372802045112,2.60541852102026,11.6038254720703,"species","Chordata","Aves","Passeriformes","Campephagidae","Coracina lineata","Barred Cuckoo-shrike","QLD"
"urn:lsid:biodiversity.org.au:afd.taxon:55c5441c-a394-4a7a-b31d-dccade07cf5f",29,"Kingsford Smith",36160,0.000801991150442478,4.94811789611145,2.90387445728898,14.3687131701725,"species","Mollusca","Bivalvia","Pectinida","Pectinidae","Pecten fumatus","Scallop","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:b8b562c1-f6ef-479a-a124-80a2c1bb2c04",25,"Kingston",16627,0.00150357851687015,3.99849538918628,1.64183695524121,6.5648774953276,"species","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Theclinesthes serpentatus","Chequered Blue","SA"
"urn:lsid:biodiversity.org.au:afd.taxon:d4fdadcf-b506-45e1-85b0-036255909328",16,"Kooyong",13545,0.0011812476928756,3.51938416272033,1.42380971493763,5.01093336147885,"species","Arthropoda","Insecta","Diptera","Bibionidae","Bibio imitator",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:8ea44a40-d6c6-4fe2-a0a8-4ba01404e664",64,"La Trobe",37277,0.00171687635807603,4.95042442945187,3.1441534512114,15.5648940548223,"species","Arthropoda","Insecta","Coleoptera","Buprestidae","Castiarina sexplagiata",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:f01d2520-d55e-441d-89a4-33323ee5f0b8",544,"Lalor",102169,0.00532451134884358,6.54884679237802,2.93050328029293,19.1914170071996,"species","Chordata","Aves","Ciconiiformes","Ardeidae","Ardea modesta","Eastern Great Egret","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:508e4399-f54c-4c5b-958f-8d6facd83d89",223,"Leichhardt",246856,0.000903360663706776,4.01878374348217,2.50917389078058,10.0838272418389,"species","Arthropoda","Insecta","Odonata","Libellulidae","Brachydiplax denticauda",NA,"QLD"
"urn:lsid:biodiversity.org.au:afd.taxon:a9970e29-da21-4ac7-b9ac-dbc92b35cce0",12,"Lilley",105667,0.00011356431052268,3.34819478003693,2.85006139706731,9.54256069244553,"species","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Lema daturaphila",NA,"QLD"
