electorate,electorate_records.x,electorate_spp,taxonConceptID,species,kingdom,phlum,count,electorate_records.y,prop_obs,z_score,scientific_name,scientific_name_authorship,rank,match_type,phylum,class,order,family,genus,vernacular_name,issues,state
Capricornia,53925,520,urn:lsid:biodiversity.org.au:afd.taxon:059944c2-f018-48e1-97e5-5d12c2e9e97c,Pitta versicolor,Animalia,Chordata,229,53925,0.004246639,4.21310177,Pitta (Pitta) versicolor,"Swainson, 1825",species,taxonIdMatch,Chordata,Aves,Passeriformes,Pittidae,Pitta,Noisy Pitta,noIssue,QLD
Casey,84129,300,urn:lsid:biodiversity.org.au:afd.taxon:3aca9928-daf5-416d-a343-60e194b2c2c2,Alisterus scapularis,Animalia,Chordata,1815,84129,0.021574011,2.781992188,Alisterus scapularis,"(Lichtenstein, 1816)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Psittacidae,Alisterus,Australian King-parrot,noIssue,VIC
Chifley,3099,207,urn:lsid:biodiversity.org.au:afd.taxon:16992949-c87a-4b5a-a94a-342be097bf27,Chenonetta jubata,Animalia,Chordata,65,3099,0.020974508,1.724138547,Chenonetta jubata,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Anseriformes,Anatidae,Chenonetta,Maned Duck,noIssue,NSW
Chisholm,95971,195,urn:lsid:biodiversity.org.au:afd.taxon:b75a8371-ee27-4f4e-9b09-4fa279e5c5f7,Glossopsitta concinna,Animalia,Chordata,2575,95971,0.026831022,2.985207023,Glossopsitta concinna,"(Shaw, 1791)",species,taxonIdMatch,Chordata,Aves,Psittaciformes,Psittacidae,Glossopsitta,Musk Lorikeet,noIssue,VIC
Clark,32154,174,urn:lsid:biodiversity.org.au:afd.taxon:76757d03-0605-47a4-9ca4-cb68320ba3ab,Larus dominicanus,Animalia,Chordata,1057,32154,0.032873048,4.762579993,Larus (Larus) dominicanus,"Lichtenstein, 1823",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Laridae,Larus,Dominican Gull,noIssue,TAS
Cook,30687,495,urn:lsid:biodiversity.org.au:afd.taxon:242e9696-c125-4c1a-865d-85a00199cadf,Limosa lapponica,Animalia,Chordata,499,30687,0.016260957,5.607619529,Limosa lapponica,"(Linnaeus, 1758)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,Bar-tailed Godwit,noIssue,NSW
Cooper,39691,193,urn:lsid:biodiversity.org.au:afd.taxon:96567379-2006-4846-aa11-fbed5306438b,Ixobrychus dubius,Animalia,Chordata,57,39691,0.001436094,3.415216404,Ixobrychus dubius,"Mathews, 1912",species,taxonIdMatch,Chordata,Aves,Ciconiiformes,Ardeidae,Ixobrychus,Australian Little Bittern,noIssue,VIC
Corangamite,118216,376,urn:lsid:biodiversity.org.au:afd.taxon:c90b9912-b34b-456c-a466-0e7edce43eac,Threskiornis spinicollis,Animalia,Chordata,1938,118216,0.01639372,3.090578847,Threskiornis spinicollis,"(Jameson, 1835)",species,taxonIdMatch,Chordata,Aves,Ciconiiformes,Threskiornithidae,Threskiornis,Straw-necked Ibis,noIssue,VIC
Corio,148606,317,urn:lsid:biodiversity.org.au:afd.taxon:897586dc-cade-4f83-86c4-fddaf357d256,Epthianura albifrons,Animalia,Chordata,1170,148606,0.007873168,2.680055302,Epthianura (Epthianura) albifrons,"(Jardine & Selby, 1828)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Meliphagidae,Epthianura,White-fronted Chat,noIssue,VIC
Cowan,4230,100,urn:lsid:biodiversity.org.au:afd.taxon:9ee6c8e8-ee96-44de-b715-2656ceb7d2eb,Ninox novaeseelandiae,Animalia,Chordata,33,4230,0.007801418,7.840416521,Ninox (Ninox) novaeseelandiae boobook,"(Latham, 1801)",subspecies,taxonIdMatch,Chordata,Aves,Strigiformes,Strigidae,Ninox,Southern Boobook,noIssue,WA
