recordID,scientificName,taxonConceptID,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,dataResourceName,country,stateProvince,year,geometry
97838510-aa15-4ca8-ac58-c95b330c9ffb,Uredo rangelii,ALA_DR22913_238,-28.8425,153.541667,2011-02-22T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.541667, -28.8425)"
99292652-3f15-422e-b139-450a55723f63,Uredo rangelii,ALA_DR22913_238,-29.4925,153.102778,2011-09-17T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.102778, -29.4925)"
9d816a94-da87-4c55-9a0d-4aada5673fab,Uredo rangelii,ALA_DR22913_238,-30.451392,152.890627,2011-03-26T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.890627, -30.451392)"
a2554de2-9fc8-4d4e-a419-3a3d36a071ae,Uredo rangelii,ALA_DR22913_238,-27.503333,151.964444,2011-07-14T00:00:00Z,PRESENT,Fungimap,Australia,Queensland,2011,"c(151.964444, -27.503333)"
a47d2620-ea9f-41f8-bc03-55cb6e28e232,Uredo rangelii,ALA_DR22913_238,-34.685949,150.617574,2011-11-15T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.617574, -34.685949)"
a68c8df3-d246-4dc9-b599-4d25fb85175c,Uredo rangelii,ALA_DR22913_238,-31.56968,152.588489,2011-11-03T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.588489, -31.56968)"
aa49e9c8-f862-4a86-8a89-b094b9defb39,Uredo rangelii,ALA_DR22913_238,-30.363802,153.060347,2011-03-31T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.060347, -30.363802)"
aae0e90a-1fa4-49e2-979d-fca990f1b87b,Uredo rangelii,ALA_DR22913_238,-32.434527,152.526634,2011-09-26T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.526634, -32.434527)"
ac3c9c7e-6736-43a9-a46d-26895bb62011,Uredo rangelii,ALA_DR22913_238,-35.62636,150.319348,2011-11-24T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.319348, -35.62636)"
b0c354b6-3353-4af5-95d6-eb2bec5f95f9,Uredo rangelii,ALA_DR22913_238,-31.279401,152.507087,2011-10-12T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.507087, -31.279401)"
b7024ce4-fa8b-4de4-821a-32c35ea35959,Uredo rangelii,ALA_DR22913_238,-32.378599,152.527458,2011-10-17T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.527458, -32.378599)"
bbce3cc2-d770-4656-a749-0cd2dc73d996,Uredo rangelii,ALA_DR22913_238,-35.558839999999996,150.330689,2011-11-24T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.330689, -35.55884)"
be8f4c09-52aa-410f-b7fc-ab65a153aa52,Uredo rangelii,ALA_DR22913_238,-30.593925,153.007296,2011-03-31T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.007296, -30.593925)"
c001931a-da60-49a0-8060-aa5ac6716d56,Uredo rangelii,ALA_DR22913_238,-32.400876,152.458756,2011-12-02T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.458756, -32.400876)"
c267f0bc-31a4-4900-9995-179113478a44,Uredo rangelii,ALA_DR22913_238,-32.453351,152.495681,2011-12-02T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.495681, -32.453351)"
c44c215b-4312-40fa-be55-c9a959e4dc6a,Uredo rangelii,ALA_DR22913_238,-30.404407,153.066619,2011-03-31T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.066619, -30.404407)"
c45c9cf3-8522-41d8-bec3-f981d0881617,Uredo rangelii,ALA_DR22913_238,-28.964861,153.405833,2011-01-25T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.405833, -28.964861)"
cdc91dfa-afbb-4ae8-a6b5-09ae36708241,Uredo rangelii,ALA_DR22913_238,-30.359396,153.062478,2011-03-31T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.062478, -30.359396)"
ce9185ab-39de-4cd2-b40f-4951a2cfc4d4,Uredo rangelii,ALA_DR22913_238,-35.623606,150.316316,2011-11-24T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.316316, -35.623606)"
d136e233-267f-4e10-aba8-4e4cead68e39,Uredo rangelii,ALA_DR22913_238,-30.360191,153.060331,2011-03-31T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.060331, -30.360191)"
d78ca627-65f8-4a80-abc6-aee94049c2d2,Uredo rangelii,ALA_DR22913_238,-34.22794,150.974034,2011-08-27T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.974034, -34.22794)"
d7e9df30-1581-4b93-a940-e1ad134c913b,Uredo rangelii,ALA_DR22913_238,-28.841389,153.439167,2011-01-22T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.439167, -28.841389)"
e43daedd-9cfe-4b0b-ba02-641bb429acb1,Uredo rangelii,ALA_DR22913_238,-28.842222,153.357222,2011-01-22T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.357222, -28.842222)"
e6557570-2321-4fbe-a08b-6592cdb6ab13,Uredo rangelii,ALA_DR22913_238,-35.688495,150.285871,2011-11-24T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.285871, -35.688495)"
ec4b23c9-db32-4c72-a61c-70ce8b1e584f,Uredo rangelii,ALA_DR22913_238,-32.200389,151.325389,2011-12-02T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(151.325389, -32.200389)"
efa20a55-57f8-483d-96d2-da4f51edbe48,Uredo rangelii,ALA_DR22913_238,-30.39899,153.071806,2011-03-31T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.071806, -30.39899)"
f1c670d0-38cd-40f1-8b16-81d86fb1e6d6,Uredo rangelii,ALA_DR22913_238,-35.606328,150.276179,2011-11-24T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(150.276179, -35.606328)"
f27ffc0d-b726-40c4-a89f-0b59e71a5a7c,Uredo rangelii,ALA_DR22913_238,-30.889167,152.913889,2011-01-29T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(152.913889, -30.889167)"
f3fa66f3-189e-469e-a0c7-b000eb7ea607,Uredo rangelii,ALA_DR22913_238,-29.673779,153.327081,2011-02-11T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2011,"c(153.327081, -29.673779)"
053773fe-ff0e-40a6-8492-52f8e0fe46f7,Austropuccinia psidii,NZOR-6-102802,-27.539770999999998,153.033118,2012-04-04T20:27:00Z,PRESENT,NatureMapr,Australia,Queensland,2012,"c(153.033118, -27.539771)"
0ba5d983-a676-48d6-af95-fae42c5ac3c7,Uredo rangelii,ALA_DR22913_238,-35.067048,150.528591,2012-11-20T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(150.528591, -35.067048)"
159c4663-0c08-4c59-9b9c-9fd87c6d963a,Uredo rangelii,ALA_DR22913_238,-32.556389,151.170278,2012-03-01T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(151.170278, -32.556389)"
180a2172-0183-45b5-b36d-93fb40590e12,Uredo rangelii,ALA_DR22913_238,-30.829346,152.908768,2012-03-13T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.908768, -30.829346)"
1b359a4c-2d00-48cc-8671-a7dd290b6e4d,Uredo rangelii,ALA_DR22913_238,-31.224052,152.57435,2012-02-29T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.57435, -31.224052)"
3381e2bb-d5ee-4b70-a735-c1bb9fa2c45b,Uredo rangelii,ALA_DR22913_238,-32.92755,151.761967,2012-05-03T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(151.761967, -32.92755)"
39d986b7-45cd-48e6-b9d4-6ab394df6548,Austropuccinia psidii,NZOR-6-102802,-26.817505,152.932083,2012-01-03T22:05:00Z,PRESENT,iNaturalist Australia,Australia,Queensland,2012,"c(152.932083, -26.817505)"
3b04175e-a944-4d66-8139-1234ea230f9e,Austropuccinia psidii,NZOR-6-102802,-34.42,150.88,2012-02-29T00:00:00Z,PRESENT,NSW DPI Biosecurity Collections,Australia,New South Wales,2012,"c(150.88, -34.42)"
3d26e4e5-e8af-4e70-9c00-613f20e3331c,Uredo rangelii,ALA_DR22913_238,-33.833056,151.209444,2012-02-19T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(151.209444, -33.833056)"
3da23aa3-0354-4253-b2e0-4a81fea83a48,Uredo rangelii,ALA_DR22913_238,-32.183889,151.702222,2012-01-17T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(151.702222, -32.183889)"
451945bc-16ed-4045-a363-0746a515c8e1,Uredo rangelii,ALA_DR22913_238,-29.759569,153.292637,2012-07-21T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(153.292637, -29.759569)"
595daa51-85b4-423c-ba8b-2e593633ae88,Uredo rangelii,ALA_DR22913_238,-31.634117,152.604764,2012-10-03T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.604764, -31.634117)"
5ac654de-b349-4b6d-928f-a5efdfeba1ce,Uredo rangelii,ALA_DR22913_238,-31.670182,152.736128,2012-03-01T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.736128, -31.670182)"
